City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,pundaguitan,PH,77.09,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
239,kavieng,PG,80.67,moderate rain,-2.5744,150.7967,Nusa Island Retreat
240,sibolga,ID,76.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
246,takoradi,GH,83.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
250,ugoofaaru,MV,83.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
254,kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
260,maracacume,BR,84.06,scattered clouds,-2.0428,-45.9592,Hotel Ramos
265,saravena,CO,87.89,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
276,samarai,PG,79.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
284,lalmohan,BD,84.52,broken clouds,22.3384,90.7419,Sundorbon courier service
293,tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
298,tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
308,dorado,PR,87.1,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
311,itaberai,BR,87.4,broken clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
316,trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
321,boa vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
322,envira,BR,84.16,overcast clouds,-7.3,-70.2167,
323,nishihara,JP,75.25,light rain,26.1842,127.7558,Minshuku Agaihama
327,padang,ID,76.96,heavy intensity rain,-0.9492,100.3543,Mercure Padang
329,baijiantan,CN,81.21,clear sky,45.6333,85.1833,
335,naifaru,MV,83.86,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
338,pakxan,LA,81.84,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
342,puerto escondido,MX,88.3,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
343,cilegon,ID,82.29,scattered clouds,-6.0174,106.0538,Amaris Hotel Cilegon
351,itarema,BR,85.68,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
353,sherbakul,RU,76.68,broken clouds,54.6316,72.3963,
354,laguna de duero,ES,84.04,clear sky,41.5815,-4.7233,Hotel Topacio
355,muisne,EC,84.31,broken clouds,0.6,-80.0333,Quinta Samay
356,acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
369,matamoros,MX,86.11,scattered clouds,25.5333,-103.25,Quinta Belem
371,bo phloi,TH,79.25,few clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
377,san andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
380,maunabo,PR,87.64,few clouds,18.0072,-65.8993,Maunacaribe
382,sorong,ID,79.18,overcast clouds,-0.8833,131.25,waigo splash hotel
393,babu,CN,75.47,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
398,gat,IL,84.4,scattered clouds,31.61,34.7642,OlusHome
402,skeldon,GY,78.31,overcast clouds,5.8833,-57.1333,Rits Hotel
404,namatanai,PG,78.78,light rain,-3.6667,152.4333,Namatanai Hotel
407,poso,ID,77.95,broken clouds,-1.3959,120.7524,Hotel 77 Poso
408,cachoeiras de macacu,BR,78.31,scattered clouds,-22.4625,-42.6531,HOTEL PALACE SERRA VERDE IMPERIAL
415,yangjiang,CN,81.41,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
416,corn island,NI,81.97,scattered clouds,12.1694,-83.0418,Big Fish Guest House
418,damghan,IR,88.95,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
421,tagusao,PH,81.48,overcast clouds,9.1924,117.8141,Toledo
429,alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
431,yangshe,CN,77.04,scattered clouds,31.8899,120.6052,Jindongmen Hotel
432,weligama,LK,79.81,overcast clouds,5.9667,80.4167,Weligama Bay Resort
434,cacoal,BR,88.65,scattered clouds,-11.4386,-61.4472,Hotel BR 364
437,waingapu,ID,76.24,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
438,labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
439,honiara,SB,76.23,broken clouds,-9.4333,159.95,Heritage Park Hotel
440,salo,IT,75.29,broken clouds,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
441,cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
443,benguela,AO,78.13,clear sky,-12.5763,13.4055,Hotel Praia Morena
446,maraa,BR,84.09,broken clouds,-1.8333,-65.3667,
447,padilla,CO,76.57,broken clouds,3.2204,-76.3139,La Granadina
450,rapar,IN,87.4,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
461,sinnamary,GF,80.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
